,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
25,HSCZ,iShares Currency Hedged MSCI EAFE Small Cap ETF,Equity,"US$13,582,397.00 ",7.81%,"14,235",US$27.18 ,0.07%,No,No,0.52%,5.55%,-9.94%,28.59%,,"(US$2,634,014.00)",US$0.00 ,"(US$2,634,014.00)","US$7,541,726.50 ","US$6,501,350.00 ","US$12,444,350.00 ",Foreign Small & Mid Cap Equities,2015-06-29,0.43%,,US$1.18 ,28/12/2018,US$0.35 ,4.34%,15.62,0.82,2,100.00%,35%,15%,1099.0,US$25.80 ,US$27.45 ,,,57.11,,,A-,,,,,,,,,,
32,FID,First Trust S&P International Dividend Aristocrats ETF,Equity,"US$12,526,870.00 ",6.96%,"7,258",US$16.91 ,-0.06%,No,No,0.96%,4.77%,-8.68%,28.18%,10.23%,"US$828,617.00 ","US$828,617.00 ","US$828,617.00 ","(US$811,031.00)","(US$811,031.00)","(US$811,031.00)",Foreign Large Cap Equities,2013-08-22,0.60%,,US$0.86 ,18/12/2018,US$0.22 ,5.14%,13.58,0.86,81,16.95%,,,,US$15.93 ,US$17.08 ,US$16.87 ,US$16.94 ,61.45,,,,,,,,6.77,88.34%,88.57%,615.91,12.68%,10.22%
35,FLM,First Trust ISE Global Engineering and Construction ETF,Equity,"US$12,289,662.00 ",7.01%,"2,811",US$49.15 ,-0.39%,No,No,-1.14%,3.64%,-20.26%,23.48%,7.19%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$5,506,258.50)","(US$2,386,620.00)","(US$10,003,168.97)",Building & Construction ,2008-10-13,0.70%,,US$0.80 ,18/12/2018,US$0.12 ,1.63%,13.86,0.98,65,27.82%,35%,15%,1099.0,US$47.58 ,US$49.89 ,US$49.15 ,US$49.15 ,53.87,B+,B+,B,B+,A+,B+,A+,6.13,69.88%,70.74%,52.39,13.75%,6.90%
36,SOIL,Global X Fertilizers/Potash ETF,Equity,"US$12,257,298.00 ",5.69%,"4,303",US$9.38 ,-0.74%,No,No,-0.53%,3.19%,-10.32%,23.38%,-3.56%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$2,020,418.50)","US$2,027,826.50 ","(US$6,692,173.50)",Materials,2011-05-25,0.69%,2 Platforms,US$0.16 ,28/12/2018,US$0.16 ,1.69%,20.51,0.95,33,48.67%,35%,15%,1099.0,US$9.15 ,US$9.53 ,US$9.34 ,US$9.41 ,51.74,B-,C,C+,B+,A,B,B-,4.33,0.00%,14.53%,922.02,4.64%,0.86%
39,FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,Equity,"US$10,910,043.00 ",9.26%,"5,722",US$36.40 ,-0.16%,No,No,1.59%,7.76%,-21.69%,25.30%,10.32%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$1,730,711.00)","US$5,385,717.50 ","US$9,113,863.00 ",Foreign Small & Mid Cap Equities,2012-02-15,0.80%,,US$0.65 ,18/12/2018,US$0.22 ,1.79%,10.83,0.85,383,9.16%,35%,15%,1099.0,US$33.16 ,US$36.72 ,,,59.18,C,C,C,B,C,A-,B-,,,,,,
46,CROP,IQ Global Agribusiness Small Cap ETF,Equity,"US$9,727,411.00 ",7.49%,"1,629",US$32.43 ,0.03%,No,No,0.56%,4.16%,-6.92%,23.77%,32.17%,"(US$1,616,145.00)","(US$1,616,145.00)","(US$1,616,145.00)","(US$1,616,145.00)","(US$3,392,426.50)","(US$19,423,957.00)",Consumer Staples Equities,2011-03-22,0.76%,Charles Schwab,US$0.28 ,27/12/2018,US$0.28 ,0.87%,15.7,0.67,44,55.62%,35%,15%,1099.0,US$31.03 ,US$32.61 ,,,62.07,B+,C+,C,A,A,B+,B+,4.4,7.23%,16.09%,109.93,1.75%,8.15%
47,HGI,Invesco Zacks International Multi-Asset Income ETF,Equity,"US$9,416,982.00 ",10.31%,"1,847",US$15.52 ,-1.21%,No,No,0.10%,6.70%,-11.77%,30.26%,3.27%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$3,369,630.00)","(US$10,893,331.00)","(US$15,006,183.00)",Large Cap Blend Equities,2007-07-11,0.98%,Charles Schwab,US$0.60 ,24/12/2018,US$0.08 ,3.82%,11.34,0.88,150,15.94%,35%,15%,1099.0,US$14.56 ,US$15.77 ,US$15.39 ,US$15.58 ,59.16,C,C+,C,C,B-,A,B,5.66,9.33%,54.28%,544.11,9.53%,5.19%
49,HGSD,WisdomTree Global Hedged SmallCap Dividend Fund,Equity,"US$8,566,044.00 ",8.01%,"4,937",US$24.42 ,-0.33%,No,No,-0.25%,4.76%,-6.55%,40.79%,,US$0.00 ,US$0.00 ,US$0.00 ,"(US$6,329,745.50)","(US$31,592,738.84)","(US$2,608,690.84)",Small Cap Blend Equities,2015-11-19,0.43%,,US$0.38 ,24/12/2018,US$0.06 ,1.54%,17.47,1.14,2,100.00%,39%,20%,1099.0,US$23.46 ,US$24.77 ,US$24.42 ,US$24.42 ,56.82,,,B+,,,C,C,,,,,,
50,FTRI,First Trust Indxx Global Natural Resources Income ETF,Equity,"US$8,438,636.00 ",10.35%,"2,469",US$12.05 ,-0.08%,No,No,2.64%,7.30%,-4.15%,43.91%,-33.88%,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,"(US$5,061,475.50)","(US$9,400,006.50)",Commodity Producers Equities,2010-03-11,0.70%,,US$0.46 ,18/12/2018,US$0.13 ,3.82%,12.6,1.32,50,65.13%,39%,20%,1099.0,US$11.12 ,US$12.05 ,US$12.04 ,US$12.06 ,64.73,,,C+,,,,,5.63,61.04%,53.32%,695.02,10.41%,9.64%
52,TLDH,FlexShares Currency Hedged Morningstar DM ex-US Factor Tilt Index Fund,Equity,"US$7,842,553.00 ",6.47%,"3,930",US$26.18 ,-0.11%,No,No,0.34%,4.52%,-7.98%,26.03%,,"(US$642,631.75)",US$0.00 ,"(US$642,631.75)","(US$9,720,030.00)","US$3,906,168.75 ","US$3,906,168.75 ",Global Equities,2015-11-09,0.44%,,US$0.77 ,28/12/2018,US$0.16 ,2.92%,18.32,0.7,2,100.00%,39%,20%,1099.0,US$25.11 ,US$26.46 ,US$26.14 ,US$26.20 ,56.6,,C,B,,,B+,,,,,,,
57,EFO,ProShares Ultra MSCI EAFE,Equity,"US$6,918,481.00 ",13.60%,"1,031",US$34.66 ,-0.09%,No,2x,1.88%,8.77%,-28.63%,31.90%,2.10%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$7,015,893.50)","(US$8,729,275.25)","(US$1,062,025.25)",Leveraged Equities,2009-06-02,0.95%,,US$0.03 ,26/12/2018,US$0.03 ,0.10%,0.0,1.87,1174,11.95%,35%,15%,1099.0,US$31.69 ,US$34.99 ,US$34.61 ,US$34.77 ,58.59,C+,B-,C,B-,B,,,,,,,,
60,SCID,Global X Scientific Beta Europe ETF,Equity,"US$5,917,852.00 ",7.32%,"2,825",US$23.59 ,0.25%,No,No,0.58%,5.74%,-15.66%,21.76%,,US$0.00 ,US$0.00 ,US$0.00 ,"(US$2,232,472.50)","(US$8,772,868.50)","US$1,397,131.50 ",Hedge Fund,2015-05-12,0.38%,,US$1.26 ,28/12/2018,US$1.26 ,5.35%,13.16,0.63,444,7.44%,35%,15%,1099.0,US$22.36 ,US$23.83 ,US$23.57 ,US$23.60 ,59.91,,,A-,,,C+,A,6.79,30.42%,89.00%,205.18,8.78%,7.99%
65,ISZE,iShares Edge MSCI Intl Size Factor ETF,Equity,"US$5,120,295.00 ",7.84%,831,US$25.58 ,-0.20%,No,No,0.55%,5.44%,-10.36%,27.84%,,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,"(US$249,330.00)","(US$249,330.00)",Foreign Large Cap Equities,2015-06-16,0.30%,,US$0.72 ,18/12/2018,US$0.27 ,2.81%,13.41,0.52,902,3.21%,39%,20%,1099.0,US$24.30 ,US$25.81 ,US$25.58 ,US$25.59 ,60.36,B,C,A,,,C+,A-,6.24,40.16%,74.46%,230.92,9.71%,7.70%
70,EDOM,WisdomTree Europe Local Recovery Fund,Equity,"US$4,739,307.00 ",7.27%,"1,437",US$23.61 ,-0.25%,No,No,-0.90%,5.05%,-25.38%,17.46%,,US$0.00 ,US$0.00 ,US$0.00 ,"(US$15,230,686.00)","US$5,505,565.05 ","US$5,505,565.05 ",Europe Equities,2015-10-29,0.48%,,US$1.92 ,24/12/2018,US$0.10 ,8.08%,13.95,1.0,277,12.20%,39%,20%,1099.0,US$22.49 ,US$24.04 ,US$23.59 ,US$23.65 ,55.44,,,,,,,,6.21,9.31%,73.48%,168.35,2.93%,4.76%
73,FTAG,First Trust Indxx Global Agriculture ETF,Equity,"US$4,501,864.00 ",7.78%,663,US$23.97 ,0.97%,No,No,3.32%,8.00%,-16.86%,30.15%,-56.94%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$1,271,686.00)","(US$437,692.62)","US$1,698,218.28 ",Large Cap Blend Equities,2010-03-11,0.70%,,US$0.48 ,18/12/2018,US$0.17 ,2.04%,19.31,1.16,45,63.08%,39%,20%,1099.0,US$21.15 ,US$24.35 ,US$23.80 ,US$24.06 ,54.25,,,C+,,,,C+,5.74,0.00%,57.34%,537.22,29.74%,2.31%
77,EFU,UltraShort MSCI EAFE ProShares,Equity,"US$3,628,941.00 ",-12.16%,"4,597",US$26.44 ,0.27%,Yes,2x,-1.64%,-8.13%,28.93%,-42.17%,-42.59%,US$0.00 ,US$0.00 ,US$0.00 ,"US$1,158,463.00 ","US$463,032.50 ","US$2,177,281.48 ",Leveraged Equities,2007-10-23,0.95%,,US$0.05 ,26/12/2018,US$0.04 ,0.20%,0.0,-1.68,1174,11.95%,35%,15%,1099.0,US$26.13 ,US$28.79 ,US$26.44 ,US$26.44 ,40.72,B-,C+,B-,A,A-,,,,,,,,
78,DPK,Direxion Daily Developed Markets Bear 3X Shares,Equity,"US$3,502,881.00 ",-17.78%,"24,840",US$14.94 ,0.54%,Yes,3x,-1.90%,-11.86%,42.73%,-57.77%,-60.75%,"(US$1,647,555.00)","(US$762,739.00)","(US$735,071.00)","(US$353,155.50)","(US$1,048,764.50)","US$2,693,758.74 ",Leveraged Equities,2008-12-17,1.10%,,US$0.10 ,27/12/2018,US$0.05 ,0.70%,0.0,-2.53,1174,11.95%,35%,15%,1099.0,US$14.64 ,US$17.02 ,US$14.90 ,US$15.00 ,41.09,B-,B,B,A,B-,,,,,,,,
80,GDXS,ProShares UltraShort Gold Miners,Equity,"US$2,646,989.00 ",-13.22%,"8,571",US$12.47 ,0.81%,Yes,2x,-12.00%,-11.56%,-6.03%,-87.08%,,"US$760,730.00 ",US$0.00 ,"US$760,730.00 ","US$93,248.00 ","US$3,397,371.39 ","(US$21,128.61)",Leveraged Equities,2015-02-12,0.95%,,US$0.00 ,,,0.00%,0.0,0.39,69,44.96%,20%,39%,1099.0,US$12.60 ,US$16.02 ,US$12.34 ,US$12.72 ,34.07,C,B-,B+,,C,,,,,,,,
83,IDMO,Invesco S&P International Developed Momentum ETF,Equity,"US$2,480,226.00 ",8.60%,628,US$24.75 ,0.16%,No,No,2.00%,6.36%,-15.62%,,,US$0.00 ,US$0.00 ,US$0.00 ,"US$1,326.50 ","(US$1,143,076.00)","(US$2,189,952.55)",Foreign Large Cap Equities,2012-02-24,0.26%,,US$0.75 ,24/12/2018,US$0.27 ,3.01%,18.7,1.14,225,30.70%,39%,20%,1099.0,US$23.17 ,US$24.74 ,US$24.72 ,US$24.77 ,62.09,,,,,,,,6.59,72.15%,83.89%,182.05,11.22%,8.04%
